week_start,country,kw_generic,kw_iphone,kw_samsung
2024-09-01,DE,64,29,15
2024-09-08,DE,68,49,14
2024-09-15,DE,69,50,15
2024-09-22,DE,67,49,15
2024-09-29,DE,67,45,15
2024-10-06,DE,65,40,15
2024-10-13,DE,62,38,14
2024-10-20,DE,69,38,15
2024-10-27,DE,67,40,15
2024-11-03,DE,64,38,15
2024-11-10,DE,67,39,14
2024-11-17,DE,79,45,18
2024-11-24,DE,93,54,24
2024-12-01,DE,86,53,19
2024-12-08,DE,87,48,20
2024-12-15,DE,79,46,17
2024-12-22,DE,90,56,21
2024-12-29,DE,74,43,16
2025-01-05,DE,66,38,13
2025-01-12,DE,71,35,14
2025-01-19,DE,62,36,15
2025-01-26,DE,64,36,16
2025-02-02,DE,69,34,16
2025-02-09,DE,64,35,16
2025-02-16,DE,65,35,14
2025-02-23,DE,58,34,13
2025-03-02,DE,62,36,14
2025-03-09,DE,63,36,14
2025-03-16,DE,63,36,13
2025-03-23,DE,63,36,14
2025-03-30,DE,65,36,13
2025-04-06,DE,60,34,14
2025-04-13,DE,64,37,14
2025-04-20,DE,64,35,14
2025-04-27,DE,59,32,12
2025-05-04,DE,63,34,12
2025-05-11,DE,64,34,13
2025-05-18,DE,63,34,13
2025-05-25,DE,65,34,13
2025-06-01,DE,63,34,13
2025-06-08,DE,63,31,14
2025-06-15,DE,61,30,13
2025-06-22,DE,62,30,13
2025-06-29,DE,60,32,11
2025-07-06,DE,70,36,15
2025-07-13,DE,67,36,15
2025-07-20,DE,67,34,15
2025-07-27,DE,68,33,15
2025-08-03,DE,70,34,14
2025-08-10,DE,68,31,14
2025-08-17,DE,69,31,14
2025-08-24,DE,69,32,14
2025-08-31,DE,67,32,14
2025-09-07,DE,74,57,14
2025-09-14,DE,69,61,14
2025-09-21,DE,77,65,15
2025-09-28,DE,71,52,14
2025-10-05,DE,70,52,14
2025-10-12,DE,74,49,13
2025-10-19,DE,69,48,14
2025-10-26,DE,66,46,14
2025-11-02,DE,78,49,14
2025-11-09,DE,77,47,14
2025-11-16,DE,92,51,17
2025-11-23,DE,100,59,19
2025-11-30,DE,98,61,19
2025-12-07,DE,90,57,17
2025-12-14,DE,90,58,17
2025-12-21,DE,100,67,17
2025-12-28,DE,83,54,15
2026-01-04,DE,73,46,13
2026-01-11,DE,69,44,13
2026-01-18,DE,69,42,14
2026-01-25,DE,65,40,12
2026-02-01,DE,68,39,13
2026-02-08,DE,62,41,11
2026-02-15,DE,60,36,11
2026-02-22,DE,60,36,14
2026-03-01,DE,72,38,15
2026-03-08,DE,72,39,15
2026-03-15,DE,68,39,14
2026-03-22,DE,66,38,14
2026-03-29,DE,64,40,13
2026-04-05,DE,61,36,12
2026-04-12,DE,60,36,12
2026-04-19,DE,62,34,12
2026-04-26,DE,61,35,13
2026-05-03,DE,62,35,12
2026-05-10,DE,70,36,13
2026-05-17,DE,60,31,12
2026-05-24,DE,60,32,11
2026-05-31,DE,69,38,14
2026-06-07,DE,67,34,12
2026-06-14,DE,57,29,11
2026-06-21,DE,52,29,10
2026-06-28,DE,59,34,12
2026-07-05,DE,66,35,13
2026-07-12,DE,62,34,12
2026-07-19,DE,68,36,14
2026-07-26,DE,68,35,14
2026-08-02,DE,68,36,15
2026-08-09,DE,68,39,14
2026-08-16,DE,78,43,20
2026-08-23,DE,72,45,21
2026-08-30,DE,73,41,19
2026-09-06,DE,76,55,15
2026-09-13,DE,75,65,13
2024-09-01,IT,3,48,21
2024-09-08,IT,2,57,19
2024-09-15,IT,3,55,18
2024-09-22,IT,2,57,18
2024-09-29,IT,2,55,19
2024-10-06,IT,2,48,20
2024-10-13,IT,3,51,18
2024-10-20,IT,2,50,18
2024-10-27,IT,1,51,18
2024-11-03,IT,2,48,17
2024-11-10,IT,2,52,20
2024-11-17,IT,2,54,23
2024-11-24,IT,2,63,26
2024-12-01,IT,3,64,24
2024-12-08,IT,3,70,25
2024-12-15,IT,4,71,22
2024-12-22,IT,4,87,29
2024-12-29,IT,3,66,24
2025-01-05,IT,3,58,19
2025-01-12,IT,2,57,19
2025-01-19,IT,1,56,19
2025-01-26,IT,2,49,21
2025-02-02,IT,2,47,21
2025-02-09,IT,3,45,19
2025-02-16,IT,2,41,17
2025-02-23,IT,2,41,18
2025-03-02,IT,3,43,17
2025-03-09,IT,2,47,16
2025-03-16,IT,3,43,19
2025-03-23,IT,3,41,18
2025-03-30,IT,1,37,15
2025-04-06,IT,2,41,15
2025-04-13,IT,3,41,18
2025-04-20,IT,2,39,15
2025-04-27,IT,2,38,15
2025-05-04,IT,1,40,14
2025-05-11,IT,2,38,15
2025-05-18,IT,3,38,16
2025-05-25,IT,2,37,16
2025-06-01,IT,3,37,15
2025-06-08,IT,2,37,18
2025-06-15,IT,2,39,18
2025-06-22,IT,2,39,17
2025-06-29,IT,2,42,16
2025-07-06,IT,3,51,20
2025-07-13,IT,2,52,19
2025-07-20,IT,3,50,21
2025-07-27,IT,2,47,20
2025-08-03,IT,3,49,22
2025-08-10,IT,3,43,20
2025-08-17,IT,2,47,22
2025-08-24,IT,2,44,21
2025-08-31,IT,1,43,19
2025-09-07,IT,1,64,21
2025-09-14,IT,2,69,20
2025-09-21,IT,2,77,18
2025-09-28,IT,2,61,16
2025-10-05,IT,2,61,18
2025-10-12,IT,2,55,19
2025-10-19,IT,2,54,17
2025-10-26,IT,3,56,18
2025-11-02,IT,2,60,18
2025-11-09,IT,1,60,21
2025-11-16,IT,3,62,22
2025-11-23,IT,2,69,26
