month,country,orders,buyers,revenue_eur,aov_eur,return_rate_pct,promo_share_pct
2024-09,DE,702,649,24753.0,35.26,5.3,38.7
2024-09,IT,536,492,17924.0,33.44,5.0,35.8
2024-10,DE,727,693,25935.0,35.67,4.0,31.1
2024-10,IT,571,531,21013.0,36.8,4.9,36.6
2024-11,DE,904,834,32752.0,36.23,3.8,44.9
2024-11,IT,613,573,20952.0,34.18,3.3,38.7
2024-12,DE,1199,1092,46062.0,38.42,4.8,47.0
2024-12,IT,881,809,32419.0,36.8,3.3,44.3
2025-01,DE,1031,953,41153.0,39.92,3.4,27.8
2025-01,IT,820,749,30808.0,37.57,2.6,28.5
2025-02,DE,1018,916,41091.0,40.36,3.8,24.7
2025-02,IT,731,657,29221.0,39.97,3.3,23.5
2025-03,DE,1357,1181,56501.0,41.64,3.5,18.2
2025-03,IT,902,796,37431.0,41.5,5.0,20.0
2025-04,DE,1069,980,44852.0,41.96,4.9,22.7
2025-04,IT,611,560,24218.0,39.64,4.9,24.4
2025-05,DE,1107,1029,44324.0,40.04,4.4,24.7
2025-05,IT,605,574,23171.0,38.3,4.0,26.4
2025-06,DE,1025,940,40046.0,39.07,4.5,23.5
2025-06,IT,611,569,23604.0,38.63,4.3,23.2
2025-07,DE,1165,1065,47489.0,40.76,5.2,34.2
2025-07,IT,828,759,32609.0,39.38,3.0,35.4
2025-08,DE,1222,1106,50594.0,41.4,5.6,24.7
2025-08,IT,897,815,36808.0,41.03,4.5,22.5
2025-09,DE,1655,1427,70645.0,42.69,4.7,18.8
2025-09,IT,1256,1080,51501.0,41.0,4.5,21.9
2025-10,DE,1535,1359,63650.0,41.47,3.9,22.2
2025-10,IT,1120,1000,44688.0,39.9,5.3,22.6
2025-11,DE,1754,1546,71281.0,40.64,4.1,33.6
2025-11,IT,1147,1031,44749.0,39.01,5.1,34.4
2025-12,DE,2099,1847,84658.0,40.33,3.8,36.1
2025-12,IT,1662,1436,67678.0,40.72,4.4,34.0
2026-01,DE,1570,1428,66931.0,42.63,4.1,21.2
2026-01,IT,1310,1182,53499.0,40.84,2.9,22.9
2026-02,DE,1311,1191,54613.0,41.66,3.8,21.5
2026-02,IT,1175,1064,47964.0,40.82,3.7,22.9
2026-03,DE,2154,1783,95672.0,44.42,3.6,16.6
2026-03,IT,1424,1195,61006.0,42.84,4.2,16.2
2026-04,DE,1500,1339,69837.0,46.56,3.7,19.3
2026-04,IT,1004,896,44350.0,44.17,4.6,18.6
2026-05,DE,1390,1247,64329.0,46.28,4.0,21.2
2026-05,IT,926,863,40954.0,44.23,4.5,20.5
2026-06,DE,1396,1264,61100.0,43.77,3.6,19.1
2026-06,IT,939,873,39019.0,41.55,4.6,20.9
2026-07,DE,1538,1375,63852.0,41.52,3.6,31.7
2026-07,IT,1170,1055,49802.0,42.57,4.3,32.6
2026-08,DE,1800,1583,79565.0,44.2,4.2,19.9
2026-08,IT,1321,1180,55311.0,41.87,5.0,19.5
