cohort_month,cohort_size,month_index,active_users,retention_pct
2024-09,1141,0,1141,100.0
2024-09,1141,1,98,8.6
2024-09,1141,2,106,9.3
2024-09,1141,3,102,8.9
2024-09,1141,4,82,7.2
2024-09,1141,5,75,6.6
2024-09,1141,6,103,9.0
2024-09,1141,7,55,4.8
2024-09,1141,8,36,3.2
2024-09,1141,9,41,3.6
2024-09,1141,10,43,3.8
2024-09,1141,11,38,3.3
2024-09,1141,12,58,5.1
2024-10,1126,0,1126,100.0
2024-10,1126,1,119,10.6
2024-10,1126,2,112,9.9
2024-10,1126,3,103,9.1
2024-10,1126,4,80,7.1
2024-10,1126,5,125,11.1
2024-10,1126,6,61,5.4
2024-10,1126,7,57,5.1
2024-10,1126,8,48,4.3
2024-10,1126,9,45,4.0
2024-10,1126,10,42,3.7
2024-10,1126,11,46,4.1
2024-10,1126,12,40,3.6
2024-11,1182,0,1182,100.0
2024-11,1182,1,149,12.6
2024-11,1182,2,109,9.2
2024-11,1182,3,121,10.2
2024-11,1182,4,148,12.5
2024-11,1182,5,76,6.4
2024-11,1182,6,66,5.6
2024-11,1182,7,55,4.7
2024-11,1182,8,63,5.3
2024-11,1182,9,49,4.1
2024-11,1182,10,72,6.1
2024-11,1182,11,58,4.9
2024-11,1182,12,60,5.1
2024-12,1538,0,1538,100.0
2024-12,1538,1,146,9.5
2024-12,1538,2,165,10.7
2024-12,1538,3,211,13.7
2024-12,1538,4,107,7.0
2024-12,1538,5,103,6.7
2024-12,1538,6,82,5.3
2024-12,1538,7,84,5.5
2024-12,1538,8,73,4.7
2024-12,1538,9,98,6.4
2024-12,1538,10,85,5.5
2024-12,1538,11,64,4.2
2024-12,1538,12,68,4.4
2025-01,1262,0,1262,100.0
2025-01,1262,1,160,12.7
2025-01,1262,2,183,14.5
2025-01,1262,3,83,6.6
2025-01,1262,4,83,6.6
2025-01,1262,5,94,7.4
2025-01,1262,6,70,5.5
2025-01,1262,7,84,6.7
2025-01,1262,8,88,7.0
2025-01,1262,9,65,5.2
2025-01,1262,10,56,4.4
2025-01,1262,11,60,4.8
2025-01,1262,12,43,3.4
2025-02,972,0,972,100.0
2025-02,972,1,164,16.9
2025-02,972,2,95,9.8
2025-02,972,3,67,6.9
2025-02,972,4,46,4.7
2025-02,972,5,60,6.2
2025-02,972,6,53,5.5
2025-02,972,7,64,6.6
2025-02,972,8,49,5.0
2025-02,972,9,53,5.5
2025-02,972,10,44,4.5
2025-02,972,11,31,3.2
2025-02,972,12,25,2.6
2025-03,1043,0,1043,100.0
2025-03,1043,1,97,9.3
2025-03,1043,2,89,8.5
2025-03,1043,3,65,6.2
2025-03,1043,4,65,6.2
2025-03,1043,5,69,6.6
2025-03,1043,6,94,9.0
2025-03,1043,7,63,6.0
2025-03,1043,8,52,5.0
2025-03,1043,9,48,4.6
2025-03,1043,10,44,4.2
2025-03,1043,11,45,4.3
2025-03,1043,12,55,5.3
2025-04,966,0,966,100.0
2025-04,966,1,96,9.9
2025-04,966,2,63,6.5
2025-04,966,3,68,7.0
2025-04,966,4,55,5.7
2025-04,966,5,82,8.5
2025-04,966,6,59,6.1
2025-04,966,7,54,5.6
2025-04,966,8,68,7.0
2025-04,966,9,48,5.0
2025-04,966,10,34,3.5
2025-04,966,11,52,5.4
2025-04,966,12,34,3.5
2025-05,1006,0,1006,100.0
2025-05,1006,1,95,9.4
2025-05,1006,2,91,9.0
2025-05,1006,3,72,7.2
2025-05,1006,4,106,10.5
2025-05,1006,5,73,7.3
2025-05,1006,6,61,6.1
2025-05,1006,7,74,7.4
2025-05,1006,8,43,4.3
2025-05,1006,9,42,4.2
2025-05,1006,10,60,6.0
2025-05,1006,11,34,3.4
2025-05,1006,12,30,3.0
2025-06,920,0,920,100.0
2025-06,920,1,76,8.3
2025-06,920,2,85,9.2
2025-06,920,3,99,10.8
2025-06,920,4,66,7.2
2025-06,920,5,64,7.0
2025-06,920,6,69,7.5
2025-06,920,7,56,6.1
2025-06,920,8,43,4.7
2025-06,920,9,49,5.3
2025-06,920,10,35,3.8
2025-06,920,11,25,2.7
2025-06,920,12,29,3.2
2025-07,1159,0,1159,100.0
2025-07,1159,1,109,9.4
2025-07,1159,2,146,12.6
2025-07,1159,3,104,9.0
2025-07,1159,4,101,8.7
2025-07,1159,5,109,9.4
2025-07,1159,6,82,7.1
2025-07,1159,7,55,4.7
2025-07,1159,8,89,7.7
2025-07,1159,9,40,3.5
2025-07,1159,10,42,3.6
2025-07,1159,11,34,2.9
2025-07,1159,12,38,3.3
