cohort_month,cohort_size,month_index,active_users,retention_pct
2024-09,1141,0,1141,100.0
2024-09,1141,1,746,65.4
2024-09,1141,2,630,55.2
2024-09,1141,3,589,51.6
2024-09,1141,4,513,45.0
2024-09,1141,5,379,33.2
2024-09,1141,6,325,28.5
2024-09,1141,7,276,24.2
2024-09,1141,8,247,21.6
2024-09,1141,9,233,20.4
2024-09,1141,10,215,18.8
2024-09,1141,11,197,17.3
2024-09,1141,12,180,15.8
2024-10,1126,0,1126,100.0
2024-10,1126,1,730,64.8
2024-10,1126,2,650,57.7
2024-10,1126,3,562,49.9
2024-10,1126,4,465,41.3
2024-10,1126,5,405,36.0
2024-10,1126,6,322,28.6
2024-10,1126,7,286,25.4
2024-10,1126,8,249,22.1
2024-10,1126,9,243,21.6
2024-10,1126,10,225,20.0
2024-10,1126,11,207,18.4
2024-10,1126,12,185,16.4
2024-11,1182,0,1182,100.0
2024-11,1182,1,825,69.8
2024-11,1182,2,642,54.3
2024-11,1182,3,562,47.5
2024-11,1182,4,532,45.0
2024-11,1182,5,418,35.4
2024-11,1182,6,342,28.9
2024-11,1182,7,320,27.1
2024-11,1182,8,288,24.4
2024-11,1182,9,258,21.8
2024-11,1182,10,242,20.5
2024-11,1182,11,227,19.2
2024-11,1182,12,204,17.3
2024-12,1538,0,1538,100.0
2024-12,1538,1,1014,65.9
2024-12,1538,2,827,53.8
2024-12,1538,3,779,50.7
2024-12,1538,4,674,43.8
2024-12,1538,5,553,36.0
2024-12,1538,6,480,31.2
2024-12,1538,7,407,26.5
2024-12,1538,8,369,24.0
2024-12,1538,9,323,21.0
2024-12,1538,10,291,18.9
2024-12,1538,11,258,16.8
2024-12,1538,12,242,15.7
2025-01,1262,0,1262,100.0
2025-01,1262,1,772,61.2
2025-01,1262,2,716,56.7
2025-01,1262,3,616,48.8
2025-01,1262,4,542,42.9
2025-01,1262,5,461,36.5
2025-01,1262,6,392,31.1
2025-01,1262,7,330,26.1
2025-01,1262,8,308,24.4
