week_start,country,days,demand_index,spend_eur,new_paid_customers,first_order_revenue_eur,cac_eur,first_order_roas,ctr
2024-09-01,DE,7,0.875,1426.08,105,3407.21,13.58,2.389,0.0139
2024-09-08,DE,7,1.049,1479.69,107,3760.88,13.83,2.542,0.01415
2024-09-15,DE,7,1.069,1500.89,114,3539.88,13.17,2.359,0.0148
2024-09-22,DE,7,1.042,1431.04,93,3327.31,15.39,2.325,0.01441
2024-09-29,DE,7,1.015,1419.44,115,3872.63,12.34,2.728,0.01431
2024-10-06,DE,7,0.961,1405.63,106,3465.65,13.26,2.466,0.01438
2024-10-13,DE,7,0.914,1381.43,107,3231.02,12.91,2.339,0.01365
2024-10-20,DE,7,0.986,1408.82,92,3548.0,15.31,2.518,0.01433
2024-10-27,DE,7,0.98,1426.14,87,3018.95,16.39,2.117,0.01358
2024-11-03,DE,7,0.937,1514.2,77,2644.22,19.66,1.746,0.01371
2024-11-10,DE,7,0.97,1473.39,89,3087.89,16.55,2.096,0.01389
2024-11-17,DE,7,1.142,1509.58,123,3961.69,12.27,2.624,0.01467
2024-11-24,DE,7,1.36,1531.94,152,4225.54,10.08,2.758,0.01571
2024-12-01,DE,7,1.269,1445.46,130,4171.63,11.12,2.886,0.01373
2024-12-08,DE,7,1.247,1492.3,122,4391.77,12.23,2.943,0.01499
2024-12-15,DE,7,1.146,1466.38,120,4414.84,12.22,3.011,0.01392
2024-12-22,DE,7,1.335,1445.27,155,5453.31,9.32,3.773,0.01537
2024-12-29,DE,7,1.073,1448.23,109,3450.79,13.29,2.383,0.01424
2025-01-05,DE,7,0.951,1426.47,115,4129.5,12.4,2.895,0.01293
2025-01-12,DE,7,0.982,1491.62,101,3305.01,14.77,2.216,0.01475
2025-01-19,DE,7,0.903,1487.65,91,3167.84,16.35,2.129,0.0138
2025-01-26,DE,7,0.926,1493.83,109,3630.35,13.7,2.43,0.01404
2025-02-02,DE,7,0.962,1611.03,98,3321.82,16.44,2.062,0.01348
2025-02-09,DE,7,0.919,1607.06,96,3305.32,16.74,2.057,0.01327
2025-02-16,DE,7,0.923,1658.44,99,3417.75,16.75,2.061,0.01399
2025-02-23,DE,7,0.844,1654.15,89,2719.07,18.59,1.644,0.01361
2025-03-02,DE,7,0.9,1473.98,109,3799.99,13.52,2.578,0.01376
2025-03-09,DE,7,0.91,1506.79,95,3295.69,15.86,2.187,0.01429
2025-03-16,DE,7,0.907,1507.75,98,3553.22,15.39,2.357,0.01419
