country,week_start,demand_index,current_spend_eur,proposed_spend_eur
DE,2025-08-31,0.922,1666.06,1368.6
DE,2025-09-07,1.164,1596.39,2181.33
DE,2025-09-14,1.142,1620.52,2099.65
DE,2025-09-21,1.251,1584.41,2376.62
DE,2025-09-28,1.099,1599.66,1944.51
DE,2025-10-05,1.09,1545.87,1912.79
DE,2025-10-12,1.105,1604.95,1965.8
DE,2025-10-19,1.052,1576.0,1781.75
DE,2025-10-26,1.009,1550.67,1639.07
DE,2025-11-02,1.148,1635.37,2121.77
DE,2025-11-09,1.124,1650.26,2033.99
DE,2025-11-16,1.308,1658.46,2487.69
DE,2025-11-23,1.448,1598.89,2398.34
DE,2025-11-30,1.442,1588.57,2382.86
DE,2025-12-07,1.33,1551.67,2327.5
DE,2025-12-14,1.337,1619.27,2428.9
DE,2025-12-21,1.498,1588.66,2382.99
DE,2025-12-28,1.234,1612.69,2419.04
DE,2026-01-04,1.075,1609.93,1860.51
DE,2026-01-11,1.022,1557.61,1681.58
DE,2026-01-18,1.011,1591.41,1645.57
DE,2026-01-25,0.952,1649.42,1459.11
DE,2026-02-01,0.977,1792.21,1536.75
DE,2026-02-08,0.926,1730.83,1380.5
DE,2026-02-15,0.872,1756.34,1224.19
DE,2026-02-22,0.881,1877.05,1249.59
DE,2026-03-01,1.016,1613.03,1661.89
DE,2026-03-08,1.023,1645.47,1684.87
DE,2026-03-15,0.98,1632.48,1546.21
DE,2026-03-22,0.954,1642.9,1465.25
DE,2026-03-29,0.945,1664.4,1437.74
DE,2026-04-05,0.885,1719.59,1260.96
DE,2026-04-12,0.875,1718.48,1232.63
DE,2026-04-19,0.881,1799.98,1249.59
DE,2026-04-26,0.881,1751.33,1249.59
DE,2026-05-03,0.888,1700.18,1269.52
DE,2026-05-10,0.976,1677.47,1533.61
DE,2026-05-17,0.84,1694.96,1135.99
DE,2026-05-24,0.844,1691.73,1146.83
DE,2026-05-31,0.983,1724.63,1555.69
DE,2026-06-07,0.93,1704.16,1392.46
DE,2026-06-14,0.794,1781.14,1014.98
DE,2026-06-21,0.742,1764.69,886.39
DE,2026-06-28,0.851,1684.5,1165.94
DE,2026-07-05,0.93,1670.65,1392.46
DE,2026-07-12,0.881,1738.95,1249.59
DE,2026-07-19,0.96,1669.77,1483.74
DE,2026-07-26,0.953,1715.82,1462.18
DE,2026-08-02,0.963,1711.8,1493.03
DE,2026-08-09,0.98,1666.52,1546.21
DE,2026-08-16,1.124,1751.72,2033.99
DE,2026-08-23,1.082,1777.62,1884.82
IT,2025-08-31,0.835,884.5,590.64
IT,2025-09-07,1.202,911.98,1223.94
IT,2025-09-14,1.281,880.19,1320.28
IT,2025-09-21,1.405,920.57,1380.86
IT,2025-09-28,1.123,896.41,1068.35
IT,2025-10-05,1.134,894.59,1089.38
IT,2025-10-12,1.038,884.33,912.74
IT,2025-10-19,1.01,872.97,864.16
IT,2025-10-26,1.049,903.93,932.19
IT,2025-11-02,1.117,893.33,1056.96
IT,2025-11-09,1.134,876.37,1089.38
IT,2025-11-16,1.174,961.46,1167.59
IT,2025-11-23,1.315,896.81,1345.22
IT,2025-11-30,1.405,899.2,1348.8
IT,2025-12-07,1.461,876.87,1315.3
IT,2025-12-14,1.54,879.75,1319.62
IT,2025-12-21,1.834,898.04,1347.06
IT,2025-12-28,1.484,909.74,1364.61
IT,2026-01-04,1.292,906.73,1360.1
IT,2026-01-11,1.174,894.92,1167.59
IT,2026-01-18,1.1,906.11,1025.03
IT,2026-01-25,0.97,887.03,797.07
IT,2026-02-01,1.044,969.55,923.32
IT,2026-02-08,1.224,989.49,1269.16
IT,2026-02-15,1.253,976.25,1330.01
IT,2026-02-22,1.106,1025.77,1036.25
IT,2026-03-01,0.937,918.92,743.76
IT,2026-03-08,0.987,907.63,825.25
IT,2026-03-15,0.959,920.56,779.09
IT,2026-03-22,0.987,874.51,825.25
IT,2026-03-29,0.908,926.96,698.43
IT,2026-04-05,0.796,974.51,536.76
IT,2026-04-12,0.914,964.53,707.69
IT,2026-04-19,0.818,941.63,566.84
IT,2026-04-26,0.818,948.57,566.84
IT,2026-05-03,0.891,923.38,672.52
IT,2026-05-10,0.869,929.19,639.72
IT,2026-05-17,0.829,931.37,582.19
IT,2026-05-24,0.722,929.23,464.62
IT,2026-05-31,0.773,950.14,506.19
IT,2026-06-07,0.767,1003.36,501.68
IT,2026-06-14,0.875,936.53,648.59
IT,2026-06-21,0.835,956.12,590.64
IT,2026-06-28,0.914,934.01,707.69
IT,2026-07-05,0.942,944.44,751.72
IT,2026-07-12,0.954,946.89,770.99
IT,2026-07-19,0.908,954.71,698.43
IT,2026-07-26,0.999,919.73,845.44
IT,2026-08-02,1.004,998.18,853.93
IT,2026-08-09,1.027,945.09,893.5
IT,2026-08-16,1.117,927.32,1056.96
IT,2026-08-23,1.123,944.26,1068.35
