변수,범주,n,%
**국가**,,,
,DE,"32,228",58.3
,IT,"23,060",41.7
**유입 채널**,,,
,Meta 광고,"15,052",27.2
,오가닉,"14,797",26.8
,구글 검색,"13,704",24.8
,추천,"5,691",10.3
,인플루언서,"3,059",5.5
,TikTok 광고,"2,985",5.4
**연령대**,,,
,25-34,"16,101",29.1
,35-44,"13,096",23.7
,45-54,"9,837",17.8
,18-24,"6,546",11.8
,55-64,"5,917",10.7
,65+,"3,791",6.9
**기기 브랜드**,,,
,Apple,"23,273",42.1
,Samsung,"19,760",35.7
,Xiaomi,"6,035",10.9
,Google,"3,691",6.7
,Motorola,"1,587",2.9
,Oppo,942,1.7
**주문 유형**,,,
,첫 구매,"29,977",54.2
,재구매,"22,760",41.2
,기기 교체 구매,"2,551",4.6
**할인코드**,,,
,사용,"14,438",26.1
,미사용,"40,850",73.9
**반품 여부**,,,
,반품 아님,"52,983",95.8
,반품,"2,305",4.2
