cohort_month,month_index,cohort_size,active_users,retention_pct,change_vs_prev_pp
2024-09-01,0,1141,1141,100.0,
2024-09-01,1,1141,98,8.6,
2024-09-01,2,1141,106,9.3,0.7
2024-09-01,3,1141,102,8.9,-0.4
2024-09-01,4,1141,82,7.2,-1.8
2024-09-01,5,1141,75,6.6,-0.6
2024-09-01,6,1141,103,9.0,2.5
2024-10-01,0,1126,1126,100.0,
2024-10-01,1,1126,119,10.6,
2024-10-01,2,1126,112,9.9,-0.6
2024-10-01,3,1126,103,9.1,-0.8
2024-10-01,4,1126,80,7.1,-2.0
2024-10-01,5,1126,125,11.1,4.0
2024-10-01,6,1126,61,5.4,-5.7
2024-11-01,0,1182,1182,100.0,
2024-11-01,1,1182,149,12.6,
2024-11-01,2,1182,109,9.2,-3.4
2024-11-01,3,1182,121,10.2,1.0
2024-11-01,4,1182,148,12.5,2.3
2024-11-01,5,1182,76,6.4,-6.1
2024-11-01,6,1182,66,5.6,-0.8
2024-12-01,0,1538,1538,100.0,
2024-12-01,1,1538,146,9.5,
2024-12-01,2,1538,165,10.7,1.2
2024-12-01,3,1538,211,13.7,3.0
2024-12-01,4,1538,107,7.0,-6.8
2024-12-01,5,1538,103,6.7,-0.3
2024-12-01,6,1538,82,5.3,-1.4
2025-01-01,0,1262,1262,100.0,
2025-01-01,1,1262,160,12.7,
2025-01-01,2,1262,183,14.5,1.8
2025-01-01,3,1262,83,6.6,-7.9
2025-01-01,4,1262,83,6.6,0.0
2025-01-01,5,1262,94,7.4,0.9
2025-01-01,6,1262,70,5.5,-1.9
2025-02-01,0,972,972,100.0,
2025-02-01,1,972,164,16.9,
2025-02-01,2,972,95,9.8,-7.1
2025-02-01,3,972,67,6.9,-2.9
2025-02-01,4,972,46,4.7,-2.2
2025-02-01,5,972,60,6.2,1.4
2025-02-01,6,972,53,5.5,-0.7
2025-03-01,0,1043,1043,100.0,
2025-03-01,1,1043,97,9.3,
2025-03-01,2,1043,89,8.5,-0.8
2025-03-01,3,1043,65,6.2,-2.3
2025-03-01,4,1043,65,6.2,0.0
2025-03-01,5,1043,69,6.6,0.4
2025-03-01,6,1043,94,9.0,2.4
2025-04-01,0,966,966,100.0,
2025-04-01,1,966,96,9.9,
2025-04-01,2,966,63,6.5,-3.4
2025-04-01,3,966,68,7.0,0.5
2025-04-01,4,966,55,5.7,-1.3
2025-04-01,5,966,82,8.5,2.8
2025-04-01,6,966,59,6.1,-2.4
2025-05-01,0,1006,1006,100.0,
2025-05-01,1,1006,95,9.4,
2025-05-01,2,1006,91,9.0,-0.4
2025-05-01,3,1006,72,7.2,-1.9
2025-05-01,4,1006,106,10.5,3.4
2025-05-01,5,1006,73,7.3,-3.3
2025-05-01,6,1006,61,6.1,-1.2
