cohort_month,acquisition,activation,activation_rate_pct,retention,retention_rate_pct,revenue_180d,arpu_180d,referral
2024-09,1141,274,24.0,108,39.4,73784.0,64.67,
2024-10,1126,261,23.2,125,47.9,71793.0,63.76,
2024-11,1182,284,24.0,142,50.0,78695.0,66.58,
2024-12,1538,411,26.7,166,40.4,102511.0,66.65,
2025-01,1262,354,28.1,129,36.4,80925.0,64.12,
2025-02,972,269,27.7,83,30.9,58612.0,60.3,
2025-03,1043,235,22.5,77,32.8,64969.0,62.29,
2025-04,966,190,19.7,82,43.2,58078.0,60.12,
2025-05,1006,214,21.3,99,46.3,63125.0,62.75,
2025-06,920,205,22.3,91,44.4,53609.0,58.27,
2025-07,1159,290,25.0,121,41.7,76348.0,65.87,
2025-08,1192,298,25.0,135,45.3,81161.0,68.09,
2025-09,1394,356,25.5,136,38.2,87807.0,62.99,
2025-10,1403,352,25.1,147,41.8,88649.0,63.19,
2025-11,1543,410,26.6,151,36.8,96819.0,62.75,
2025-12,1940,470,24.2,175,37.2,119167.0,61.43,
2026-01,1440,334,23.2,110,32.9,86510.0,60.08,
2026-02,1213,297,24.5,97,32.7,75561.0,62.29,
2026-03,175,55,31.4,20,36.4,11371.0,64.98,
