user_id,variant,country,first_exposure_ts,orders,converted,revenue_eur,bundle_orders,returned
U019962,control,IT,2026-04-13 00:22:11,2.0,1,165.04,0.0,1.0
U008500,control,DE,2026-04-13 00:34:45,1.0,1,87.98,0.0,0.0
U019122,treatment,IT,2026-04-13 00:42:01,0.0,0,0.0,0.0,0.0
U021279,treatment,IT,2026-04-13 00:43:54,2.0,1,157.65,0.0,0.0
U015500,treatment,IT,2026-04-13 00:47:29,0.0,0,0.0,0.0,0.0
U010104,control,DE,2026-04-13 01:00:59,0.0,0,0.0,0.0,0.0
U005931,control,IT,2026-04-13 01:01:43,3.0,1,290.91,0.0,0.0
U005732,control,DE,2026-04-13 01:19:32,1.0,1,99.96,0.0,0.0
U012396,treatment,DE,2026-04-13 01:24:03,0.0,0,0.0,0.0,0.0
U007701,control,DE,2026-04-13 01:28:25,2.0,1,101.95,0.0,0.0
U012966,treatment,DE,2026-04-13 01:32:59,1.0,1,34.98,0.0,0.0
U004898,control,DE,2026-04-13 01:45:00,0.0,0,0.0,0.0,0.0
U022367,control,IT,2026-04-13 01:45:27,0.0,0,0.0,0.0,0.0
U012506,treatment,IT,2026-04-13 01:46:56,0.0,0,0.0,0.0,0.0
U000785,control,DE,2026-04-13 01:48:25,0.0,0,0.0,0.0,0.0
U021514,treatment,DE,2026-04-13 01:50:01,1.0,1,14.99,0.0,0.0
U016220,control,DE,2026-04-13 01:51:38,0.0,0,0.0,0.0,0.0
U007783,treatment,IT,2026-04-13 01:59:02,0.0,0,0.0,0.0,0.0
U024225,control,DE,2026-04-13 02:05:53,1.0,1,16.99,0.0,0.0
U000891,treatment,IT,2026-04-13 02:10:05,0.0,0,0.0,0.0,0.0
U005662,treatment,DE,2026-04-13 02:28:34,1.0,1,39.99,0.0,0.0
U015784,treatment,DE,2026-04-13 02:51:27,1.0,1,14.99,0.0,0.0
U012881,control,IT,2026-04-13 02:57:02,0.0,0,0.0,0.0,0.0
U014696,treatment,DE,2026-04-13 03:04:58,0.0,0,0.0,0.0,0.0
U009961,control,IT,2026-04-13 03:05:24,1.0,1,56.97,0.0,0.0
U020149,control,DE,2026-04-13 03:05:51,0.0,0,0.0,0.0,0.0
U006035,treatment,IT,2026-04-13 03:06:32,1.0,1,55.98,0.0,0.0
U006675,treatment,DE,2026-04-13 03:12:01,1.0,1,27.99,0.0,0.0
U021753,treatment,DE,2026-04-13 03:24:34,3.0,1,175.93,0.0,0.0
U014590,treatment,DE,2026-04-13 03:34:23,2.0,1,119.95,0.0,0.0
U015558,control,DE,2026-04-13 03:41:13,0.0,0,0.0,0.0,0.0
U024226,control,DE,2026-04-13 04:07:18,1.0,1,41.98,0.0,0.0
U020093,control,DE,2026-04-13 04:07:35,0.0,0,0.0,0.0,0.0
U018732,treatment,IT,2026-04-13 04:24:09,1.0,1,73.22,1.0,0.0
U018686,treatment,IT,2026-04-13 04:51:04,2.0,1,97.71,1.0,0.0
U015504,control,IT,2026-04-13 05:20:34,2.0,1,101.96,0.0,0.0
U019741,control,IT,2026-04-13 05:26:53,1.0,1,14.99,0.0,0.0
U014746,treatment,DE,2026-04-13 05:33:30,1.0,1,58.97,0.0,0.0
U018586,control,DE,2026-04-13 05:33:51,1.0,1,25.98,0.0,0.0
U023594,treatment,DE,2026-04-13 05:43:23,0.0,0,0.0,0.0,0.0
U007845,treatment,DE,2026-04-13 06:08:43,1.0,1,49.73,1.0,0.0
U007792,control,DE,2026-04-13 06:11:42,1.0,1,44.99,0.0,0.0
U020821,treatment,IT,2026-04-13 06:13:48,0.0,0,0.0,0.0,0.0
U016464,control,DE,2026-04-13 06:28:09,1.0,1,29.99,0.0,0.0
U020826,control,DE,2026-04-13 06:31:48,1.0,1,78.97,0.0,0.0
U014281,treatment,IT,2026-04-13 06:35:25,0.0,0,0.0,0.0,0.0
U008216,control,DE,2026-04-13 06:37:52,1.0,1,26.99,0.0,1.0
U018286,treatment,IT,2026-04-13 06:41:26,2.0,1,68.71,1.0,0.0
U015107,treatment,IT,2026-04-13 06:46:06,0.0,0,0.0,0.0,0.0
U019408,treatment,IT,2026-04-13 06:50:55,0.0,0,0.0,0.0,0.0
U023434,treatment,IT,2026-04-13 06:53:58,0.0,0,0.0,0.0,0.0
U022413,treatment,IT,2026-04-13 06:54:34,0.0,0,0.0,0.0,0.0
U004600,treatment,DE,2026-04-13 06:59:33,2.0,1,250.66,1.0,0.0
U024227,treatment,IT,2026-04-13 07:33:19,1.0,1,26.99,0.0,0.0
U018221,treatment,IT,2026-04-13 08:03:05,1.0,1,43.98,0.0,0.0
U021999,control,DE,2026-04-13 08:15:10,1.0,1,103.97,0.0,0.0
U024228,treatment,IT,2026-04-13 08:29:19,2.0,1,67.82,1.0,0.0
U021033,control,DE,2026-04-13 08:31:38,0.0,0,0.0,0.0,0.0
U012931,treatment,DE,2026-04-13 09:04:12,0.0,0,0.0,0.0,0.0
U024230,treatment,DE,2026-04-13 09:04:33,1.0,1,99.97,1.0,0.0
U024229,control,IT,2026-04-13 09:09:03,1.0,1,37.78,0.0,0.0
U003719,control,DE,2026-04-13 09:13:57,2.0,1,79.96,0.0,0.0
U002660,control,IT,2026-04-13 09:40:47,0.0,0,0.0,0.0,0.0
U017459,treatment,DE,2026-04-13 09:46:47,0.0,0,0.0,0.0,0.0
U011617,treatment,DE,2026-04-13 09:48:18,1.0,1,75.97,0.0,0.0
U022731,control,IT,2026-04-13 09:52:38,2.0,1,56.97,0.0,0.0
U009779,treatment,DE,2026-04-13 09:54:50,0.0,0,0.0,0.0,0.0
U014357,control,IT,2026-04-13 09:54:55,1.0,1,111.97,0.0,0.0
U020590,control,DE,2026-04-13 09:54:58,2.0,1,134.95,0.0,0.0
U013638,treatment,IT,2026-04-13 10:02:08,2.0,1,110.95,0.0,0.0
U024231,control,DE,2026-04-13 10:03:47,1.0,1,16.19,0.0,1.0
U024232,treatment,IT,2026-04-13 10:10:07,1.0,1,54.02,1.0,0.0
U023544,control,IT,2026-04-13 10:37:25,1.0,1,34.98,0.0,0.0
U001475,treatment,DE,2026-04-13 10:40:12,1.0,1,59.97,0.0,0.0
U024233,control,DE,2026-04-13 10:42:46,2.0,1,44.78,0.0,0.0
U008794,treatment,DE,2026-04-13 10:49:09,0.0,0,0.0,0.0,0.0
U020684,control,DE,2026-04-13 10:58:21,0.0,0,0.0,0.0,0.0
U018215,control,DE,2026-04-13 11:10:42,3.0,1,142.95,0.0,0.0
U019043,control,DE,2026-04-13 11:12:00,1.0,1,74.98,0.0,0.0
U024234,treatment,DE,2026-04-13 11:19:12,1.0,1,19.99,0.0,0.0
U005493,treatment,DE,2026-04-13 11:27:27,0.0,0,0.0,0.0,0.0
U018197,treatment,IT,2026-04-13 11:29:27,0.0,0,0.0,0.0,0.0
U024236,treatment,DE,2026-04-13 11:33:08,1.0,1,22.49,0.0,0.0
U001613,treatment,DE,2026-04-13 11:35:59,0.0,0,0.0,0.0,0.0
U024235,treatment,IT,2026-04-13 11:36:44,1.0,1,39.58,0.0,0.0
U015266,control,IT,2026-04-13 11:54:41,0.0,0,0.0,0.0,0.0
U019036,treatment,IT,2026-04-13 11:58:59,0.0,0,0.0,0.0,0.0
U024237,control,DE,2026-04-13 12:07:03,1.0,1,29.99,0.0,0.0
U024005,treatment,IT,2026-04-13 12:09:12,0.0,0,0.0,0.0,0.0
U015304,treatment,IT,2026-04-13 12:13:33,1.0,1,19.99,0.0,0.0
U007224,treatment,IT,2026-04-13 12:29:24,1.0,1,39.98,0.0,0.0
U000714,control,DE,2026-04-13 12:48:51,0.0,0,0.0,0.0,0.0
U024238,control,DE,2026-04-13 12:52:12,1.0,1,32.98,0.0,0.0
U024239,control,DE,2026-04-13 12:59:01,1.0,1,56.97,0.0,0.0
U018596,treatment,IT,2026-04-13 13:03:59,0.0,0,0.0,0.0,0.0
U024240,control,DE,2026-04-13 13:06:10,1.0,1,21.99,0.0,0.0
U023506,control,IT,2026-04-13 13:09:14,1.0,1,30.98,0.0,0.0
U016169,control,IT,2026-04-13 13:10:32,0.0,0,0.0,0.0,0.0
U004664,treatment,IT,2026-04-13 13:10:48,0.0,0,0.0,0.0,0.0
U018538,control,IT,2026-04-13 13:16:41,3.0,1,98.65,0.0,0.0
U019828,treatment,IT,2026-04-13 13:32:01,1.0,1,66.97,0.0,1.0
U024241,treatment,DE,2026-04-13 13:39:29,1.0,1,74.72,1.0,0.0
U014693,control,DE,2026-04-13 13:46:04,1.0,1,79.98,0.0,0.0
U017701,control,DE,2026-04-13 13:50:36,2.0,1,189.94,0.0,0.0
U018131,treatment,DE,2026-04-13 13:52:46,0.0,0,0.0,0.0,0.0
U020327,control,DE,2026-04-13 13:53:06,0.0,0,0.0,0.0,0.0
U013767,control,IT,2026-04-13 13:55:07,0.0,0,0.0,0.0,0.0
U015933,control,IT,2026-04-13 14:07:31,3.0,1,283.89,0.0,1.0
U024242,control,DE,2026-04-13 14:10:44,3.0,1,229.92,0.0,0.0
U017697,treatment,IT,2026-04-13 14:17:55,1.0,1,19.99,0.0,0.0
U023832,treatment,IT,2026-04-13 14:22:36,0.0,0,0.0,0.0,0.0
U003721,treatment,DE,2026-04-13 14:23:11,1.0,1,93.21,1.0,0.0
U021449,treatment,DE,2026-04-13 14:26:56,0.0,0,0.0,0.0,0.0
U014568,control,IT,2026-04-13 14:33:55,2.0,1,114.97,0.0,0.0
U009497,control,DE,2026-04-13 14:41:02,0.0,0,0.0,0.0,0.0
U018608,control,IT,2026-04-13 15:14:49,0.0,0,0.0,0.0,0.0
U020643,control,IT,2026-04-13 15:15:45,0.0,0,0.0,0.0,0.0
U024243,treatment,DE,2026-04-13 15:16:40,1.0,1,19.99,0.0,0.0
U020525,control,DE,2026-04-13 15:17:14,1.0,1,69.96,0.0,0.0
U018635,control,DE,2026-04-13 15:22:17,0.0,0,0.0,0.0,0.0
U019323,treatment,DE,2026-04-13 15:29:14,0.0,0,0.0,0.0,0.0
U017583,control,DE,2026-04-13 15:30:30,0.0,0,0.0,0.0,0.0
