cluster,feature,z_value,feature_ko,cluster_role
0,recency_days,0.5331,구매경과일,휴면·이탈 위험
1,recency_days,-1.2839,구매경과일,신규 고객
2,recency_days,-0.49,구매경과일,핵심 고객
0,frequency,-0.384,구매횟수,휴면·이탈 위험
1,frequency,-0.3842,구매횟수,신규 고객
2,frequency,1.5088,구매횟수,핵심 고객
0,monetary,-0.3438,누적매출,휴면·이탈 위험
1,monetary,-0.2927,누적매출,신규 고객
2,monetary,1.3057,누적매출,핵심 고객
0,aov,-0.2602,객단가,휴면·이탈 위험
1,aov,-0.1474,객단가,신규 고객
2,aov,0.9227,객단가,핵심 고객
0,discount_share,0.1284,할인의존,휴면·이탈 위험
1,discount_share,0.0607,할인의존,신규 고객
2,discount_share,-0.4448,할인의존,핵심 고객
0,accessory_share,-0.415,액세서리비중,휴면·이탈 위험
1,accessory_share,-0.3506,액세서리비중,신규 고객
2,accessory_share,1.5736,액세서리비중,핵심 고객
0,sessions_90d,-0.5535,최근방문,휴면·이탈 위험
1,sessions_90d,0.8443,최근방문,신규 고객
2,sessions_90d,0.9404,최근방문,핵심 고객
0,tenure_days,0.3897,가입기간,휴면·이탈 위험
1,tenure_days,-1.6321,가입기간,신규 고객
2,tenure_days,0.2541,가입기간,핵심 고객
