user_id,cluster,recency_days,frequency,monetary,aov,discount_share,accessory_share,sessions_90d,tenure_days,cluster_role,pc1,pc2
U000001,0,729,1,29.68,29.68,1.0,0.0,0.0,729,휴면·이탈 위험,-1.584,1.0596
U000002,2,514,5,285.87,57.174,0.0,0.2377,0.0,729,핵심 고객,1.9563,2.5274
U000003,0,729,1,34.18,34.18,1.0,0.0,0.0,729,휴면·이탈 위험,-1.4171,1.1389
U000004,0,729,1,24.29,24.29,1.0,0.0,0.0,729,휴면·이탈 위험,-1.8196,0.9477
U000005,0,729,1,40.48,40.48,1.0,0.0,0.0,729,휴면·이탈 위험,-1.2161,1.2343
U000006,0,729,1,26.99,26.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.2788,1.2198
U000007,0,729,1,23.99,23.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.4171,1.1542
U000008,0,729,1,32.98,32.98,0.0,0.0,0.0,729,휴면·이탈 위험,-1.0423,1.3322
U000009,0,729,1,24.29,24.29,1.0,0.0,0.0,729,휴면·이탈 위험,-1.8196,0.9477
U000010,2,126,4,134.94,33.735,0.0,0.4815,10.0,729,핵심 고객,2.8502,0.8694
U000011,0,537,3,49.67,16.5567,0.3333,0.5031,0.0,729,휴면·이탈 위험,0.1784,1.678
U000012,2,551,5,296.9,59.38,0.0,0.6061,0.0,729,핵심 고객,2.6554,2.8625
U000013,0,729,1,33.28,33.28,1.0,0.0,0.0,729,휴면·이탈 위험,-1.4487,1.1239
U000014,0,729,1,17.99,17.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.7519,0.9951
U000015,0,729,1,15.29,15.29,1.0,0.0,0.0,729,휴면·이탈 위험,-2.3561,0.6929
U000016,2,724,2,92.96,46.48,0.0,0.484,0.0,729,핵심 고객,0.9602,2.2305
U000017,0,729,1,52.97,52.97,0.0,0.2452,0.0,729,휴면·이탈 위험,-0.0312,1.7876
U000018,0,570,2,17.99,28.485,0.0,0.386,0.0,729,휴면·이탈 위험,-0.2049,1.5374
U000019,0,729,1,21.59,21.59,1.0,0.0,0.0,729,휴면·이탈 위험,-1.9573,0.8823
U000020,0,729,1,66.97,66.97,0.0,0.0,0.0,729,휴면·이탈 위험,-0.1967,1.7337
U000021,0,729,1,20.69,20.69,1.0,0.0,0.0,729,휴면·이탈 위험,-2.0069,0.8588
U000022,0,729,1,32.98,32.98,0.0,0.0,0.0,729,휴면·이탈 위험,-1.0423,1.3322
U000023,0,729,1,20.69,20.69,1.0,0.0,0.0,729,휴면·이탈 위험,-2.0069,0.8588
U000024,2,669,4,88.95,22.2375,0.0,0.427,0.0,729,핵심 고객,0.8223,2.1231
U000025,0,729,1,22.99,22.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.4669,1.1305
U000026,0,729,1,21.99,21.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.5188,1.1058
U000027,0,729,1,39.98,39.98,0.0,0.0,0.0,729,휴면·이탈 위험,-0.8138,1.4406
U000028,0,729,1,21.99,21.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.5188,1.1058
