week_start,country,window,actual_eur,model_a_eur,model_b_eur
2025-09-07,DE,4분기 2025.9–12,15187.04,13264.5474,15579.5403
2025-09-14,DE,4분기 2025.9–12,17535.66,14734.8251,16544.7548
2025-09-21,DE,4분기 2025.9–12,22054.12,13630.6864,16618.1886
2025-09-28,DE,4분기 2025.9–12,16039.91,14623.214,16379.6828
2025-10-05,DE,4분기 2025.9–12,15623.73,12697.0934,14392.7223
2025-10-12,DE,4분기 2025.9–12,14615.84,12335.2305,14452.9403
2025-10-19,DE,4분기 2025.9–12,13705.27,12294.2582,14170.471
2025-10-26,DE,4분기 2025.9–12,12118.39,12720.906,14251.7331
2025-11-02,DE,4분기 2025.9–12,16233.66,13655.0142,16260.1046
2025-11-09,DE,4분기 2025.9–12,15918.43,15025.0916,16822.8602
2025-11-16,DE,4분기 2025.9–12,17501.64,16668.2946,19448.9726
2025-11-23,DE,4분기 2025.9–12,17597.69,18248.5891,20501.7733
2025-11-30,DE,4분기 2025.9–12,19273.31,19207.1656,21854.6761
2025-12-07,DE,4분기 2025.9–12,17447.02,21123.4633,22828.9083
2025-12-14,DE,4분기 2025.9–12,17551.4,18834.8131,21825.0683
2025-12-21,DE,4분기 2025.9–12,23049.21,23988.9859,27191.1968
2026-02-01,DE,봄 2026.2–4,12786.2,15212.3585,15357.6263
2026-02-08,DE,봄 2026.2–4,14472.47,16329.6715,15655.9715
2026-02-15,DE,봄 2026.2–4,12589.68,17719.6586,16103.8781
2026-02-22,DE,봄 2026.2–4,14764.43,19052.8436,17419.0908
2026-03-01,DE,봄 2026.2–4,18633.15,21715.7939,21236.7164
2026-03-08,DE,봄 2026.2–4,22264.83,22161.7936,21831.9337
2026-03-15,DE,봄 2026.2–4,26738.02,21303.7577,20324.1182
2026-03-22,DE,봄 2026.2–4,19362.9,15885.2187,15272.0333
2026-03-29,DE,봄 2026.2–4,19021.25,17246.0354,16525.5647
2026-04-05,DE,봄 2026.2–4,16597.68,16160.5816,14703.7549
2026-04-12,DE,봄 2026.2–4,15117.53,15206.0708,13850.2094
2026-04-19,DE,봄 2026.2–4,16260.31,14750.223,13670.9858
2026-06-07,DE,여름 2026.6–8,16184.25,13587.227,14612.2807
2026-06-14,DE,여름 2026.6–8,13195.45,13296.6236,12437.7402
2026-06-21,DE,여름 2026.6–8,11459.21,13521.4644,11785.513
2026-06-28,DE,여름 2026.6–8,13649.43,14252.9188,13825.9361
2026-07-05,DE,여름 2026.6–8,12881.87,17291.4825,16525.2326
2026-07-12,DE,여름 2026.6–8,15287.18,14292.9608,13360.0576
2026-07-19,DE,여름 2026.6–8,14648.11,15861.5828,15918.0934
2026-07-26,DE,여름 2026.6–8,15444.47,16235.4395,16071.9139
2026-08-02,DE,여름 2026.6–8,15199.08,15711.6249,15926.4941
2026-08-09,DE,여름 2026.6–8,16771.25,15313.2248,16054.8867
2026-08-16,DE,여름 2026.6–8,18491.96,15515.6911,18542.4142
2026-08-23,DE,여름 2026.6–8,19935.06,16579.4055,18519.0805
2025-09-07,IT,4분기 2025.9–12,9820.56,6752.6477,9105.8258
2025-09-14,IT,4분기 2025.9–12,13509.12,6184.1104,9026.0664
2025-09-21,IT,4분기 2025.9–12,16656.13,7930.3862,11344.9221
2025-09-28,IT,4분기 2025.9–12,12130.98,8115.4378,9594.9388
2025-10-05,IT,4분기 2025.9–12,12082.56,7698.0137,9591.9495
2025-10-12,IT,4분기 2025.9–12,10108.61,7972.77,9394.7162
2025-10-19,IT,4분기 2025.9–12,7858.07,8019.8507,9484.5763
2025-10-26,IT,4분기 2025.9–12,9642.54,7884.6846,9794.8721
2025-11-02,IT,4분기 2025.9–12,10351.22,7728.1596,10072.931
2025-11-09,IT,4분기 2025.9–12,9990.53,7760.7604,9847.9296
2025-11-16,IT,4분기 2025.9–12,10231.38,8148.9753,9898.2104
2025-11-23,IT,4분기 2025.9–12,10725.63,8834.1492,10767.1679
2025-11-30,IT,4분기 2025.9–12,12543.97,9723.6838,11787.7329
2025-12-07,IT,4분기 2025.9–12,14024.17,10974.4544,13129.6987
2025-12-14,IT,4분기 2025.9–12,14259.27,11910.5776,14774.67
2025-12-21,IT,4분기 2025.9–12,18680.72,12617.2338,16582.4433
2026-02-01,IT,봄 2026.2–4,10451.84,11375.8914,12460.4786
2026-02-08,IT,봄 2026.2–4,12531.17,12070.1116,15138.3035
2026-02-15,IT,봄 2026.2–4,12097.23,13007.5808,16282.5514
2026-02-22,IT,봄 2026.2–4,12884.09,13852.7927,15463.7096
2026-03-01,IT,봄 2026.2–4,10830.84,17379.3682,16374.239
2026-03-08,IT,봄 2026.2–4,15832.17,15396.8925,14956.4225
2026-03-15,IT,봄 2026.2–4,17657.33,15473.8814,15290.7268
2026-03-22,IT,봄 2026.2–4,12641.86,11739.4733,12515.5201
2026-03-29,IT,봄 2026.2–4,11217.33,12234.6448,12719.7681
2026-04-05,IT,봄 2026.2–4,10983.96,10109.0521,9735.03
2026-04-12,IT,봄 2026.2–4,10699.03,9295.333,10329.5097
2026-04-19,IT,봄 2026.2–4,8654.04,8866.1509,8899.8038
2026-06-07,IT,여름 2026.6–8,7859.61,8727.2873,8596.536
2026-06-14,IT,여름 2026.6–8,8632.35,8782.3119,9279.5442
2026-06-21,IT,여름 2026.6–8,10701.7,9091.7726,8776.2004
2026-06-28,IT,여름 2026.6–8,10996.42,9701.8184,9589.7657
2026-07-05,IT,여름 2026.6–8,11071.49,11550.3172,10598.6541
2026-07-12,IT,여름 2026.6–8,11731.5,13813.8778,12548.2374
2026-07-19,IT,여름 2026.6–8,10447.36,11469.8526,10460.9738
2026-07-26,IT,여름 2026.6–8,12210.08,12763.3334,12626.1221
2026-08-02,IT,여름 2026.6–8,10620.58,12886.1471,12934.7085
2026-08-09,IT,여름 2026.6–8,10990.26,12752.2142,13118.3211
2026-08-16,IT,여름 2026.6–8,12629.95,12599.7419,13780.9225
2026-08-23,IT,여름 2026.6–8,15667.34,12704.8536,13692.8378
